predictions,truth,fold
0.9421710701012757,1,1
0.9555863880273997,1,1
0.9994931635725848,1,1
0.996217697759949,1,1
0.1343393556939469,0,1
0.06770892546295103,0,1
0.9999400200204455,1,1
0.9999552133799621,1,1
0.9999843442875681,1,1
0.46068954300410175,1,1
0.2716657516409899,0,1
0.9988874694854564,1,1
0.9944279476974942,1,1
0.9998597926755411,1,1
0.9998889798182191,1,1
0.24079549667785294,1,1
0.4025958866432568,0,1
0.1561319685803467,1,1
0.012255198604421673,0,1
0.010445448088952893,0,1
0.0075192983251109735,0,1
0.046063586050832286,0,1
0.9913729914088694,1,1
0.028739772144354074,0,1
0.3529447400500263,1,1
0.013593547152951658,0,1
0.9500667662308863,1,1
0.9712676737059671,1,1
0.9998787306695163,1,1
0.9989659748523261,1,1
0.9992269315920503,1,1
0.019009309619190486,0,1
0.016826486972197262,0,1
0.0009285855985575935,0,1
0.12076220618945102,0,1
0.3603641911815323,0,1
0.10423791176151137,0,1
0.32885270893454904,1,1
0.0023458122257399134,0,1
0.011225997402347648,0,1
0.9957610989240314,1,1
0.9975051144440378,1,1
0.0018633750328215166,0,1
0.0029490400183697614,0,1
0.030747461341039256,0,1
0.0016863700608910513,0,1
0.39147244905532164,1,1
0.14941525161937144,1,1
0.05275638262502829,1,1
0.9956294270585988,1,1
0.7655391160178117,1,1
0.0031368771040188067,0,1
0.01904948652100158,0,1
0.08442297575257664,0,1
0.015417160329237999,0,1
0.030536525597157842,0,1
0.04182979736598602,0,1
0.0003177152098611726,0,1
0.07949274049259164,0,1
0.001142414820584077,0,1
0.0025058118985440596,0,1
0.23545589666428396,1,1
0.12120711613312185,1,1
0.0033359484782038745,0,1
0.2995981981249665,0,1
0.178182188699583,0,1
0.9029788905016788,1,1
0.0011643599979744414,0,1
0.0016962468171123066,0,1
0.007425572288861256,0,1
0.9070402231889707,1,1
0.9622579966075384,1,1
0.312480971696061,0,1
0.44080047776242876,0,1
0.9899191970420821,1,1
0.0035400179577052392,0,1
0.01909446095517714,0,1
0.0006413983010348274,0,1
0.0016948303995472243,0,1
0.029814593186694587,0,1
0.05208574970085159,0,1
0.00037250924683731527,0,1
0.0012371073907242723,0,1
0.7886576897802716,0,1
0.6871870988907484,0,1
0.11087953266132194,0,1
0.023677191075889902,0,1
0.2220695027292412,0,1
0.06567351860513472,0,1
0.8931391103680225,1,1
0.9264897265155314,1,1
0.0009126632740854192,0,1
0.01923202028996424,0,1
0.007871760625131915,0,1
0.06178741307480141,0,1
0.0005305942190786194,0,1
0.07013148971828913,0,1
0.7768502228528926,1,1
0.6233491852984244,1,1
0.7944408709315209,1,1
0.9823857474389492,1,1
0.0002804706112479032,0,1
0.11305736087033723,0,1
0.7448888172776728,0,1
0.0005570117748146165,0,1
0.0006467678127956107,0,1
0.0005365012296048162,0,1
0.03702920593177251,0,1
0.0002749210445883234,0,1
0.08829138642338819,0,1
0.0010529910235234188,0,1
7.308407168968135e-05,0,1
0.00024139903884208178,0,1
0.00022017553872781878,0,1
0.0013908768085330336,0,1
0.0004816533182754999,0,1
0.0361505398867516,0,1
0.14226512456129903,0,1
0.047936181505174785,1,1
0.0063790282720740795,0,1
0.0028912215137646548,0,1
0.006343266070946163,0,1
0.009278991241308512,0,1
0.000278558625132412,0,1
0.0002105637700533057,0,1
0.00036574378931993485,0,1
0.00045145470159613764,0,1
0.00012680464222442655,0,1
0.00014233264167835377,0,1
0.003952099965036905,0,1
0.00041500721179221935,0,1
0.006153470129222039,0,1
0.8907031597007735,1,2
0.8815420432623962,1,2
0.9999559344943129,1,2
0.999986980686901,1,2
0.9940534250806711,1,2
0.9761187605133342,1,2
0.9993138655003202,1,2
0.15005145078341867,1,2
0.06607713496520334,0,2
0.007599389858635306,0,2
0.0014515849887541431,0,2
0.0338941680091141,0,2
0.08074518723471752,0,2
0.006078668112442844,0,2
0.9979286456670377,1,2
0.9998787105969926,1,2
0.011686692278180548,0,2
0.0026588966948286425,0,2
0.0016030718950316085,0,2
0.01310041811202391,0,2
0.999632833987946,1,2
0.9405585360972768,1,2
0.9986972333918802,1,2
0.9987604110904782,1,2
0.9915887932729771,1,2
0.004393232832045505,0,2
0.020114757275577256,0,2
0.9977029903963647,1,2
0.9925704440959925,1,2
0.9999952690833473,1,2
0.9935323223933432,1,2
0.6463209501248041,1,2
0.3104170460261627,1,2
0.022330088292645867,0,2
0.01694932173498845,0,2
0.9913097942061846,1,2
0.9998873321419884,1,2
0.13839710484623896,0,2
0.9894686914821416,1,2
0.16400669730049253,0,2
0.8505102277266104,1,2
0.6965296950764064,1,2
0.004432534563432806,0,2
0.003540744588121092,0,2
0.9958332861765604,1,2
0.9145955485503965,1,2
0.20234449566757068,0,2
0.04922021946582456,1,2
0.2831185946508149,0,2
0.06296574168663033,0,2
0.04705557480745646,0,2
0.006933231919665705,0,2
0.004066357992694119,0,2
0.02194558381504782,0,2
0.0024593738102475526,0,2
0.964876936302052,1,2
0.9799171837964081,1,2
0.871558419264042,1,2
0.9910942163264106,1,2
0.2550030199656004,0,2
0.4712394389832231,0,2
0.0002564519364014844,0,2
0.7604180222920319,0,2
0.0003179125253688784,0,2
0.0016833733873918041,0,2
0.13910388952515787,0,2
0.959808081176092,1,2
0.9978296872362044,1,2
0.8922365070345072,1,2
0.0002438689704186203,0,2
0.0004895278326363118,0,2
0.901829911252302,1,2
0.9918927275444869,1,2
0.0006229535497146166,0,2
0.0006985849951965773,0,2
0.0013685087243672249,0,2
0.00027161923040054203,0,2
0.00018933491208697513,0,2
0.19716523275197287,0,2
0.019984648878685802,0,2
0.6040214895823831,0,2
0.6009900017720221,0,2
0.6760815470939544,0,2
0.0012443855372882926,0,2
0.011608404523169828,0,2
0.08179783863123563,1,2
0.04602271312510178,0,2
0.26172100604279486,1,2
0.0008183186163623707,0,2
0.033286497076135936,0,2
0.3007833887514471,0,2
0.8668067476673637,0,2
0.9671527644484889,1,2
0.966628784830464,0,2
0.10683892566040724,0,2
0.20664314839231568,0,2
0.0006387808538675368,0,2
0.020239226862696875,0,2
0.008897013936973888,0,2
0.0005650409963058612,0,2
0.017701008050517924,0,2
0.027935130540905993,0,2
0.012018784478299047,0,2
0.00391634023729233,0,2
0.0010274050445818964,0,2
0.03690922330770985,0,2
0.0003486699223058225,0,2
0.0009457837105663089,0,2
0.00012990977061651832,0,2
0.0006076966369978549,0,2
0.03029169055210258,0,2
0.002609207721484028,0,2
0.004428283148928448,0,2
0.002156892360224041,0,2
6.664172530016443e-05,0,2
0.00037329584843127613,0,2
0.00040895442249841955,0,2
0.0005223319221268744,0,2
0.0012971639805759556,0,2
0.00699395302835413,0,2
0.011378367428881691,0,2
0.015354677771227818,0,2
0.014255386738392765,0,2
0.7626976987237798,0,2
0.005563926564998717,0,2
0.0038838593838047726,0,2
0.0003812928332327065,0,2
0.00017352738912702016,0,2
0.06716383717065916,0,2
0.009630474269860717,0,2
0.9670856153441993,1,3
0.9993474609820774,1,3
0.9509798885900984,1,3
0.029661915854997747,0,3
0.17027185628209923,0,3
0.031902251191016605,0,3
0.9998828917376498,1,3
0.012761718238149566,0,3
0.011153599892501892,0,3
0.0517370569349526,0,3
0.7409269691656605,1,3
0.5591993765028336,1,3
0.9910437420757411,1,3
0.021290522120565557,0,3
0.0012424506382125717,0,3
0.0006146897714213701,0,3
0.012638733301678215,0,3
0.0052385382402100646,0,3
0.009108991747960692,0,3
0.9958406436987228,1,3
0.9907733336194189,1,3
0.9996587996141152,1,3
0.998861665289139,1,3
0.9713739881245644,1,3
0.9827294934931504,1,3
0.9887425825921502,1,3
0.026700855712083613,0,3
0.25469663448182916,0,3
0.01469203904692111,0,3
0.03162791432776692,0,3
0.004983917633911409,0,3
0.9921436639817692,1,3
0.9779780992388457,1,3
0.9392502238384137,1,3
0.9961671931341399,1,3
0.9997630089755013,1,3
0.3206753689108335,1,3
0.15089955996551535,1,3
0.12087232082054893,0,3
0.0011457791388673367,0,3
0.9996719779651145,1,3
0.9987402216344137,1,3
0.07434870880022017,1,3
0.012204201060652151,0,3
0.016626113310518987,0,3
0.0038556713294623317,1,3
0.0033589703765957413,0,3
0.02791745436847566,0,3
0.7137813234683374,1,3
0.011822401080960263,0,3
0.0009454799487082243,0,3
0.8147544454654507,1,3
0.9820316807293565,1,3
0.9987668591081245,1,3
0.9929156483463677,1,3
0.0009493499567909961,0,3
0.00017764243315436838,0,3
0.002188724937940711,0,3
0.003257283045504125,0,3
0.011911255812423187,0,3
0.276871584514424,0,3
0.9984029841927531,1,3
0.9963669818725202,1,3
0.9107405287341719,1,3
0.8396385674024223,1,3
0.15991833890977072,0,3
0.26008445155314974,1,3
0.0028061000390547024,0,3
0.023096244631017376,0,3
0.0005937133632437985,0,3
0.1015294107299693,0,3
0.003491094241979186,0,3
0.07665670172855048,0,3
0.0004699153821263533,0,3
0.6913726203422019,0,3
0.0008099330110946,0,3
0.9501165526251233,1,3
0.8846280464791019,1,3
0.9646185572231731,1,3
0.5157426564082078,1,3
0.5096608985124003,0,3
0.9935682201971185,1,3
0.9866183006713876,1,3
0.0216939283569929,0,3
0.03187197586941721,0,3
0.00013942531612739793,0,3
0.5183213954836509,0,3
0.2736827202539927,0,3
0.061055969250903244,0,3
0.18730824278098587,0,3
0.007927218176347627,0,3
0.0029071808417938955,0,3
0.02898559938828854,0,3
0.16859666192868228,0,3
0.039996764040549394,0,3
0.5316052976186206,0,3
0.00025260810178822003,0,3
0.00026233935003218645,0,3
0.007382329818532691,0,3
0.004598700287033056,0,3
0.00042897479703423786,0,3
0.00027029057768627904,0,3
0.051124161448003864,0,3
0.0007444758258420745,0,3
0.0037432163648663695,0,3
0.00047423257195159963,0,3
0.0005467500821338645,0,3
